"participant","leaveoutindex","reward","environment","horizon","kError","beta","tau"
1,1,"Cumulative","Rough",20,0.00673816045363542,0.325763490708307,0.208792822836484
1,2,"Cumulative","Rough",20,0.00673858831399301,0.324854693690032,0.235596700064173
1,3,"Cumulative","Rough",20,0.00674237158694678,44.7359893862092,25.9159602316605
1,4,"Cumulative","Rough",20,0.00673877323169836,0.361867434682134,0.238157396507852
1,1,"Cumulative","Rough",40,1.08410881656969,1.22534134761343,0.689491224304455
1,2,"Cumulative","Rough",40,0.91693000310507,45.474741508935,24.637675408897
1,3,"Cumulative","Rough",40,0.00673881576907309,32.671075784491,17.0892347817217
1,4,"Cumulative","Rough",40,1.07551431042854,44.8420127930424,23.6587834739051
2,1,"Cumulative","Rough",20,0.00674438377296458,0.258800829054331,0.168847603373907
2,2,"Cumulative","Rough",20,0.639420812970032,0.38478390687705,0.217154626314569
2,3,"Cumulative","Rough",20,0.519599853687679,1.4170744452908,0.795298194125806
2,4,"Cumulative","Rough",20,0.7397249459197,0.436413669562962,0.234793684029671
2,1,"Cumulative","Rough",40,0.00674852466120966,44.7223604944743,26.3028567690665
2,2,"Cumulative","Rough",40,0.00675407165063361,44.3256149547395,24.1581873706712
2,3,"Cumulative","Rough",40,0.00674423746215827,44.5486198569008,25.8366674458507
2,4,"Cumulative","Rough",40,0.0067911185408052,43.2052906112233,22.6378985927518
3,1,"Cumulative","Smooth",20,16.3315881005763,0.0149388668052372,0.00673870161704411
3,2,"Cumulative","Smooth",20,12.7289806707183,0.0136483352176118,0.00673816620341773
3,3,"Cumulative","Smooth",20,6.2543997008566,0.060513769935246,0.0317945953699965
3,4,"Cumulative","Smooth",20,17.3519162527669,0.0136853500434249,0.00673797731537857
3,1,"Cumulative","Smooth",40,13.9265967049872,0.0126397686323359,0.00673797288594155
3,2,"Cumulative","Smooth",40,11.9856360132009,0.0156170033960357,0.00673799698530874
3,3,"Cumulative","Smooth",40,14.3898001246051,0.0118289375829339,0.00673795115641258
3,4,"Cumulative","Smooth",40,16.0133118392453,0.0139417798924006,0.00673842322361177
4,1,"Cumulative","Smooth",20,14.4091575049582,0.0372214471525068,0.0156240224118763
4,2,"Cumulative","Smooth",20,25.7697152948031,0.016210600193074,0.00674970630722074
4,3,"Cumulative","Smooth",20,1.16669392404192,0.505586017729804,0.185007150658658
4,4,"Cumulative","Smooth",20,23.7172749447643,0.0154333255764064,0.00674251264274171
4,1,"Cumulative","Smooth",40,3.74098876851802,0.0972512274350761,0.049841840967228
4,2,"Cumulative","Smooth",40,3.80709590169354,0.113255472359804,0.0564728298249126
4,3,"Cumulative","Smooth",40,3.60779194365839,0.110094052715141,0.0555497371556089
4,4,"Cumulative","Smooth",40,6.22144769752444,0.0875879191848741,0.0402890193264739
5,1,"Best","Rough",20,3.43385924070601,0.00673796992176812,0.0159761648220948
5,2,"Best","Rough",20,13.8019176955857,0.0137591277530759,0.00673794728353983
5,3,"Best","Rough",20,13.4320643497401,0.0143669802403609,0.00673795426221299
5,4,"Best","Rough",20,13.0210366871179,0.0129747874961381,0.00673795231019161
5,1,"Best","Rough",40,7.22603049749723,0.00673795787178734,0.00711231962996867
5,2,"Best","Rough",40,10.2456630096769,0.0102642416295561,0.00673794998017495
5,3,"Best","Rough",40,4.27966815444666,0.0494761026581139,0.0290738540044453
5,4,"Best","Rough",40,10.7651816423631,0.0136099890078448,0.00673795485930607
6,1,"Best","Rough",20,0.00673797125149953,0.156383106578887,0.0627228000800176
6,2,"Best","Rough",20,0.00673926453568243,0.135502724987004,0.0667238404385382
6,3,"Best","Rough",20,0.00673794723312847,0.135975560475537,0.0728755204883684
6,4,"Best","Rough",20,0.0067490075917427,0.307685435589077,0.153653362964851
6,1,"Best","Rough",40,4.77011626133698,0.075491192400552,0.040899975711649
6,2,"Best","Rough",40,4.98617346004399,0.0605722503979192,0.0374635026934684
6,3,"Best","Rough",40,4.56711501440517,0.0472078342425389,0.0350446222659212
6,4,"Best","Rough",40,0.00673847570072933,0.19386872710819,0.108784202101119
7,1,"Best","Smooth",20,0.00681903838954891,45.1495013157271,27.1027320471974
7,2,"Best","Smooth",20,0.00690433369995738,44.8654917634453,27.1138425274778
7,3,"Best","Smooth",20,0.00674974650733084,45.4038009478314,26.7999743142432
7,4,"Best","Smooth",20,0.00674897610872872,44.6973624444855,22.7248311723895
7,1,"Best","Smooth",40,0.00674792542661017,0.55242522999059,0.299726275073571
7,2,"Best","Smooth",40,0.00673930295032505,0.587157273397471,0.334075281666105
7,3,"Best","Smooth",40,0.00673845275021787,10.1201001025363,5.71366878138131
7,4,"Best","Smooth",40,0.00673795114601687,9.68102023073837,5.50899221631632
8,1,"Best","Smooth",20,0.683895436719887,0.517324926371286,0.308911644369147
8,2,"Best","Smooth",20,0.651517850124257,0.589720312478101,0.346177910409235
8,3,"Best","Smooth",20,1.09309220637354,0.394503883288135,0.242611394172232
8,4,"Best","Smooth",20,0.717944951465122,0.490851074124651,0.30827344975914
8,1,"Best","Smooth",40,0.00674124616925111,44.7160777280982,24.7820341944894
8,2,"Best","Smooth",40,0.00673881103846348,44.5734388684435,23.8036394753466
8,3,"Best","Smooth",40,0.00673963734828354,44.7375420192288,23.7362117875449
8,4,"Best","Smooth",40,0.006746311067094,44.7121946129404,22.7009139961867
9,1,"Cumulative","Rough",20,0.00673795495258935,0.0591296016660122,0.0211761863687909
9,2,"Cumulative","Rough",20,5.07536757507609,0.0463918057497958,0.0200082395406605
9,3,"Cumulative","Rough",20,5.11013414620983,0.0452963623229923,0.0192290616033804
9,4,"Cumulative","Rough",20,10.7016209459359,0.014503758158174,0.00674333686980073
9,1,"Cumulative","Rough",40,8.67358605225867,0.0230157572639815,0.0135986401910861
9,2,"Cumulative","Rough",40,13.1869634590957,0.0130306608517529,0.00673887528940835
9,3,"Cumulative","Rough",40,7.18460473040209,0.0337260206030347,0.0182683012890557
9,4,"Cumulative","Rough",40,5.80440000325684,0.04409355376462,0.0244037904034274
10,1,"Cumulative","Rough",20,16.0169834721116,0.0130390027345223,0.00673801268755602
10,2,"Cumulative","Rough",20,15.2916803124598,0.012439246168551,0.00674164297648812
10,3,"Cumulative","Rough",20,19.7205340281435,0.0137638046629487,0.0067614623692668
10,4,"Cumulative","Rough",20,0.00721492210573852,0.181189147615663,0.0679456232902031
10,1,"Cumulative","Rough",40,12.9082886792841,0.018871787745144,0.0106586431541169
10,2,"Cumulative","Rough",40,7.13365915501076,0.0422563251010226,0.0239379071292012
10,3,"Cumulative","Rough",40,7.10752187108405,0.0799551670191311,0.0402034391688455
10,4,"Cumulative","Rough",40,19.0395368103517,0.0137152873199546,0.0074912299391935
11,1,"Cumulative","Smooth",20,0.00673846274977509,0.424379290399846,0.191466203962176
11,2,"Cumulative","Smooth",20,0.00674779199002723,0.424110662814233,0.190273839268171
11,3,"Cumulative","Smooth",20,0.00676400221271927,0.346931782040545,0.140571658935511
11,4,"Cumulative","Smooth",20,0.00675868750507598,45.6849637681672,18.5477647982472
11,1,"Cumulative","Smooth",40,1.13100461455247,4.15243637375043,1.60232590537203
11,2,"Cumulative","Smooth",40,0.465189508992215,0.595971120333549,0.266124218745474
11,3,"Cumulative","Smooth",40,0.270607185779062,44.7026690390245,18.3515855449468
11,4,"Cumulative","Smooth",40,0.833772145705214,1.04139767141403,0.420158346918344
12,1,"Cumulative","Smooth",20,1.51305387114609,44.7177974151393,20.4719128035513
12,2,"Cumulative","Smooth",20,1.53035144376929,1.3589684313352,0.787162271202968
12,3,"Cumulative","Smooth",20,0.00674000824775687,44.5269482272115,23.8437765714717
12,4,"Cumulative","Smooth",20,1.54678333315856,44.6855165355244,22.46363914716
12,1,"Cumulative","Smooth",40,0.00673875213010288,0.286155239165538,0.139653373046925
12,2,"Cumulative","Smooth",40,0.466174459788962,0.312316803939148,0.162517731057719
12,3,"Cumulative","Smooth",40,0.47501689481881,0.41189962321068,0.211486066106
12,4,"Cumulative","Smooth",40,0.893608748795451,1.26769157476987,0.596139265446501
13,1,"Best","Rough",20,0.00674554407711883,44.6823837311225,18.1337022674953
13,2,"Best","Rough",20,0.0067458971462239,44.5851162446178,18.7300577026745
13,3,"Best","Rough",20,0.00678204239623765,44.6678024842267,18.0845819690239
13,4,"Best","Rough",20,0.0067404069196582,44.531489736946,19.6765907380958
13,1,"Best","Rough",40,0.00675469654867333,44.8460611469941,20.3068201376343
13,2,"Best","Rough",40,0.00675530757924553,46.6346918105953,19.1609974048931
13,3,"Best","Rough",40,0.00673968788416499,44.7337154167329,20.0199497049963
13,4,"Best","Rough",40,0.0067417426142681,44.5891773018196,20.3154675866969
14,1,"Best","Rough",20,0.523860627165322,44.7328509228992,21.2330962416368
14,2,"Best","Rough",20,0.599945028823196,44.7534745281797,20.1452633283887
14,3,"Best","Rough",20,0.432515289772992,49.7240998226677,21.8123146049838
14,4,"Best","Rough",20,0.00704890079632349,45.9501122238507,21.1628636036298
14,1,"Best","Rough",40,0.00673982833310096,0.395621338943259,0.176328080996841
14,2,"Best","Rough",40,0.00674316174652293,0.337678991610925,0.144332215805661
14,3,"Best","Rough",40,0.006746691508714,0.74351350431718,0.315859710062554
14,4,"Best","Rough",40,0.00674256713526743,0.433721052963267,0.179975044655476
15,1,"Best","Smooth",20,0.00673970557022824,0.382631482276183,0.23404326573662
15,2,"Best","Smooth",20,0.0067391941546242,0.474601866241497,0.258304412134252
15,3,"Best","Smooth",20,0.00681548694877454,47.5905746276459,22.4166286707609
15,4,"Best","Smooth",20,0.00673930530363196,0.422000902357755,0.238129047128959
15,1,"Best","Smooth",40,0.926524981477693,44.6762741321127,21.3400127223092
15,2,"Best","Smooth",40,0.601473342828937,44.7375955472529,21.8996023592736
15,3,"Best","Smooth",40,0.724990140274999,44.6943059365363,21.7594765861927
15,4,"Best","Smooth",40,0.240874677703491,1.15270435256466,0.500372612520032
16,1,"Best","Smooth",20,0.0068009157856517,44.8140700511523,15.7791352004167
16,2,"Best","Smooth",20,1.05719876195326,44.8021356562663,16.2106186034922
16,3,"Best","Smooth",20,1.14805111117768,45.0806828439591,15.7799004708884
16,4,"Best","Smooth",20,0.963571776740482,51.9706205514737,15.0672322775168
16,1,"Best","Smooth",40,0.00675011739830339,44.7090195126256,13.8649778990577
16,2,"Best","Smooth",40,0.128752727458665,44.7640276719589,15.9506633805147
16,3,"Best","Smooth",40,0.14743768953834,46.8572490133915,15.8070066730966
16,4,"Best","Smooth",40,0.274869098964021,43.1096107671261,14.6354139841219
17,1,"Cumulative","Rough",20,1.41039630713012,46.2159088709825,17.7472310731868
17,2,"Cumulative","Rough",20,1.11511257809312,53.9156133189556,17.8785414987818
17,3,"Cumulative","Rough",20,1.47347723720678,45.2134241797045,20.1781142383896
17,4,"Cumulative","Rough",20,0.00675996730211324,49.2600578168939,17.4383744925663
17,1,"Cumulative","Rough",40,0.888510327686202,48.5346710051984,18.1097746151074
17,2,"Cumulative","Rough",40,0.602288423821313,48.1371517821995,16.3234826229772
17,3,"Cumulative","Rough",40,0.5772306709844,45.197104617037,18.2991276525619
17,4,"Cumulative","Rough",40,1.00016568455442,44.3886011442923,18.1737986659997
18,1,"Cumulative","Rough",20,5.07792577172128,0.0470561467531073,0.0345970487981229
18,2,"Cumulative","Rough",20,12.8964135522392,0.00975855774193442,0.00674026202070718
18,3,"Cumulative","Rough",20,5.29143469746298,0.0396042402517531,0.0283683677188042
18,4,"Cumulative","Rough",20,5.03627803740964,0.0349219096605983,0.027454262639573
18,1,"Cumulative","Rough",40,5.11326572516644,0.0297400228386142,0.0227489968528319
18,2,"Cumulative","Rough",40,5.42214439270126,0.0414066973875449,0.0240925550753693
18,3,"Cumulative","Rough",40,10.7416691649885,0.009689630486342,0.00673899008634436
18,4,"Cumulative","Rough",40,5.22078803927112,0.0311019542461247,0.0228058634773334
19,1,"Cumulative","Smooth",20,0.0727568115732002,11.7142523555268,6.15522487995901
19,2,"Cumulative","Smooth",20,0.00674463104875897,44.7269925173447,21.2701917323958
19,3,"Cumulative","Smooth",20,0.165505383710995,44.7450567306535,21.4706960892146
19,4,"Cumulative","Smooth",20,0.180219182753313,43.8027581033909,21.1929036996592
19,1,"Cumulative","Smooth",40,0.968801086556668,45.5937472522545,19.1338646953806
19,2,"Cumulative","Smooth",40,0.00674808341589716,1.33101594885751,0.643145277569986
19,3,"Cumulative","Smooth",40,1.02725241355885,44.9055666570898,20.1054673424421
19,4,"Cumulative","Smooth",40,0.980776890947862,1.86442211286996,0.899163714658896
20,1,"Cumulative","Smooth",20,0.00674377897577594,44.6456140889208,15.460821788865
20,2,"Cumulative","Smooth",20,0.00676064277577058,46.0391681921501,16.2196058152053
20,3,"Cumulative","Smooth",20,0.00674094799368434,44.6863086868678,15.7248975033859
20,4,"Cumulative","Smooth",20,0.00674813167060023,44.4581098304647,15.9596377122586
20,1,"Cumulative","Smooth",40,0.0067400009530257,44.7155516735291,17.249264922863
20,2,"Cumulative","Smooth",40,0.00675415751832771,44.8813249071981,18.1485008750569
20,3,"Cumulative","Smooth",40,0.00674388217960744,44.7304753994541,18.3990760455397
20,4,"Cumulative","Smooth",40,0.00674000289424782,44.7045854461912,18.2580375886882
21,1,"Best","Rough",20,0.00674786214808469,44.8227718700638,23.7431045183253
21,2,"Best","Rough",20,0.00682386820920751,46.4251273010626,27.5160727381898
21,3,"Best","Rough",20,0.00691545894718341,45.0257181318244,25.6792326742217
21,4,"Best","Rough",20,0.00682853748394543,43.9373805471074,24.4217863346558
21,1,"Best","Rough",40,0.0067394243107947,0.733446543354553,0.381052756589091
21,2,"Best","Rough",40,0.00673922498691652,0.669220608053682,0.326512399369886
21,3,"Best","Rough",40,0.00675023487306565,0.319678959495167,0.161482906105924
21,4,"Best","Rough",40,0.00674894912883522,0.34230296907233,0.163904856131484
22,1,"Best","Rough",20,0.00674187223157986,44.6469680923971,28.7596575455374
22,2,"Best","Rough",20,0.00673948544060823,44.6256998111354,25.948588804576
22,3,"Best","Rough",20,0.00673982856566885,44.7176406755014,26.5237502364117
22,4,"Best","Rough",20,0.00675166449708856,44.7205615050848,30.5076782184559
22,1,"Best","Rough",40,0.00674208625851435,44.6891462324702,22.7530323516586
22,2,"Best","Rough",40,0.00673826476164318,44.3904150818262,22.9308102419359
22,3,"Best","Rough",40,0.00673851566628416,44.6654737375152,20.3951282887685
22,4,"Best","Rough",40,0.00674180740983726,44.7325435804733,22.1401626255711
23,1,"Best","Smooth",20,0.00674225760685366,0.211365175374394,0.111438136783004
23,2,"Best","Smooth",20,7.24273999011967,0.0657138418935678,0.0370250514924729
23,3,"Best","Smooth",20,7.49372453584532,0.0691993112044479,0.0375077769774206
23,4,"Best","Smooth",20,4.83499906216671,0.0818325585468196,0.0535408856643574
23,1,"Best","Smooth",40,16.9251341550739,0.0102078311095167,0.00674827330807837
23,2,"Best","Smooth",40,7.8123652664051,0.0449493256586769,0.0295431824905756
23,3,"Best","Smooth",40,7.26124738149195,0.0490517182429528,0.0324583282915319
23,4,"Best","Smooth",40,5.38559370188297,0.0564394880795306,0.0387311642096724
24,1,"Best","Smooth",20,2.67245897140545,0.544810149519076,0.240696207128074
24,2,"Best","Smooth",20,0.723712791521796,122.747731498629,22.0249906289985
24,3,"Best","Smooth",20,2.75505275468959,0.51830505248685,0.245807285472449
24,4,"Best","Smooth",20,2.41819160594065,0.27223856647073,0.131372243555006
24,1,"Best","Smooth",40,2.95790683156044,50.755209011932,23.6536895144572
24,2,"Best","Smooth",40,3.03449583889605,2.34378378117428,1.22724892166412
24,3,"Best","Smooth",40,2.38884957969985,0.671815244666624,0.351401486956466
24,4,"Best","Smooth",40,2.2337904580899,54.9174713529452,23.2741324726923
25,1,"Cumulative","Rough",20,0.00675108023753185,44.5711163051452,19.1225012605081
25,2,"Cumulative","Rough",20,0.00674580106270175,44.6203028042719,17.9945202794394
25,3,"Cumulative","Rough",20,0.00674025913664377,44.7021457243256,17.2489877784122
25,4,"Cumulative","Rough",20,0.00673855379288724,44.2562220288176,18.4256883133484
25,1,"Cumulative","Rough",40,0.0706451798336157,3.39627270723091,1.41064782144912
25,2,"Cumulative","Rough",40,0.00676953148196472,44.7410167061194,20.2419104825947
25,3,"Cumulative","Rough",40,0.00674129095558641,44.5897071699944,18.4264499012816
25,4,"Cumulative","Rough",40,0.00674007172965597,44.6954384999173,18.0622591365589
26,1,"Cumulative","Rough",20,0.682489751901244,45.6317980774344,18.2899766631249
26,2,"Cumulative","Rough",20,1.0766087047359,45.1208972771465,17.9748345313311
26,3,"Cumulative","Rough",20,0.386093510015318,0.47433206724021,0.184401995343759
26,4,"Cumulative","Rough",20,0.490695289745263,94.2361183477875,17.2998338779511
26,1,"Cumulative","Rough",40,0.00674035639036973,44.720905829991,18.7991113779431
26,2,"Cumulative","Rough",40,0.00675498343807594,44.104624733605,19.2386452163733
26,3,"Cumulative","Rough",40,0.00675205693589986,44.7317673592737,17.9638688065372
26,4,"Cumulative","Rough",40,0.00674163470630207,44.6091653619663,18.5351015235965
27,1,"Cumulative","Smooth",20,2.55537074252357,0.303809276274193,0.123688359180771
27,2,"Cumulative","Smooth",20,0.408278253753752,0.216250976719444,0.0832402351636243
27,3,"Cumulative","Smooth",20,2.56719625488753,0.294818219517422,0.117081963727821
27,4,"Cumulative","Smooth",20,2.41244238442489,0.310456264170089,0.112380259054217
27,1,"Cumulative","Smooth",40,5.27989906338496,0.110043619441587,0.0514396418702441
27,2,"Cumulative","Smooth",40,0.00673795505747289,0.189824511843024,0.0729642593178016
27,3,"Cumulative","Smooth",40,0.0067379524886584,0.193626072462729,0.0650706227997004
27,4,"Cumulative","Smooth",40,0.00673808768814453,0.191935558826673,0.0678965660164773
28,1,"Cumulative","Smooth",20,0.00674033007997206,44.8056657424775,17.8060055251364
28,2,"Cumulative","Smooth",20,0.00676508485907421,44.639807601364,19.6049801613428
28,3,"Cumulative","Smooth",20,0.00674388714767371,44.7911667282561,18.4014552458076
28,4,"Cumulative","Smooth",20,0.00675158815352294,45.1454960562836,19.4487873279094
28,1,"Cumulative","Smooth",40,0.0243222275299217,51.0703345975697,18.3519403075569
28,2,"Cumulative","Smooth",40,0.00700396477087052,44.2360763548738,19.1047815449514
28,3,"Cumulative","Smooth",40,0.039825953661482,58.458293231679,20.0394046069452
28,4,"Cumulative","Smooth",40,0.179898786471196,44.8568583931351,19.1489699339849
29,1,"Best","Rough",20,0.125617567445493,1.03094451459796,0.389146292179041
29,2,"Best","Rough",20,0.107897178054436,0.831257083548965,0.315059529529352
29,3,"Best","Rough",20,0.00676012444672958,44.4233201153392,17.0878685089099
29,4,"Best","Rough",20,0.216347674969462,1.38445780565298,0.530165218932482
29,1,"Best","Rough",40,0.0067392178906204,44.8265872660701,18.129567133887
29,2,"Best","Rough",40,0.00673799953556676,44.7340467554837,17.9264664082119
29,3,"Best","Rough",40,0.00673916053837547,44.6577601692976,18.8683743291362
29,4,"Best","Rough",40,0.00674185356740323,43.9905861020367,18.8256102089882
30,1,"Best","Rough",20,0.863472372324036,49.9391004151245,16.8266176344438
30,2,"Best","Rough",20,0.880171855190563,44.1182875524946,19.4178073463347
30,3,"Best","Rough",20,0.921441578193141,44.753456651424,19.4392214227874
30,4,"Best","Rough",20,0.00673828035177739,44.703736733847,17.7205348104984
30,1,"Best","Rough",40,0.00674409460684966,44.6877797235684,19.4816349496012
30,2,"Best","Rough",40,0.00696131239272485,45.7158371259676,19.5269963574513
30,3,"Best","Rough",40,0.00687631145834727,45.7571718092759,20.2336785791835
30,4,"Best","Rough",40,0.00676597131271115,44.459396480993,19.6994535932007
31,1,"Best","Smooth",20,0.00673807256250328,44.7262371420493,28.4288979560394
31,2,"Best","Smooth",20,0.00677443690966406,45.0569735852855,22.2597590854507
31,3,"Best","Smooth",20,0.00674953712474947,44.8754860989548,24.8291708735719
31,4,"Best","Smooth",20,0.00673819400778947,44.7210451191558,25.1812171318768
31,1,"Best","Smooth",40,0.00674161005719697,44.7123420675364,23.2782064318671
31,2,"Best","Smooth",40,0.00674232316504247,44.587343084298,23.1579379722017
31,3,"Best","Smooth",40,0.00675059267768974,44.5103894023018,22.7295944356763
31,4,"Best","Smooth",40,0.00673907311260622,44.3658097859862,23.2890259496278
32,1,"Best","Smooth",20,0.0067716507044125,44.414429493831,21.2674863153813
32,2,"Best","Smooth",20,0.00675572740425951,44.8820909001684,18.3217652463117
32,3,"Best","Smooth",20,0.00674200396958147,44.6575392425421,19.2522388906911
32,4,"Best","Smooth",20,0.00674535352129122,44.5246742084772,18.7380742811026
32,1,"Best","Smooth",40,0.00674910170212493,45.2570242727477,19.8107122500762
32,2,"Best","Smooth",40,0.00674457255585284,44.6650732091,18.698493559001
32,3,"Best","Smooth",40,0.00674427515438469,44.7202919595715,19.2671221918665
32,4,"Best","Smooth",40,0.00679125691904734,44.9080042411974,18.8240308287165
33,1,"Cumulative","Rough",20,1.01621192724808,0.705476103805273,0.245268554744703
33,2,"Cumulative","Rough",20,1.38091045771946,1.52737976391794,0.551998678845024
33,3,"Cumulative","Rough",20,1.1571986467723,0.90666422208329,0.315728312957663
33,4,"Cumulative","Rough",20,1.24809490195673,45.1038970147287,15.8271758650546
33,1,"Cumulative","Rough",40,0.134444311122558,46.8376129379908,16.8966680770136
33,2,"Cumulative","Rough",40,0.581925123457747,46.2348270497723,16.3694107297044
33,3,"Cumulative","Rough",40,0.0465508899466114,132.943580074015,16.9747262925684
33,4,"Cumulative","Rough",40,0.349916149341174,71.6529761062091,17.1872836049487
34,1,"Cumulative","Smooth",20,0.00686349292142236,44.6440239761462,13.4410895845385
34,2,"Cumulative","Smooth",20,0.00674942482646748,44.7768416997411,15.3150562433378
34,3,"Cumulative","Smooth",20,0.00676053670260339,44.033642375706,13.7853689542122
34,4,"Cumulative","Smooth",20,0.00674185495642066,44.7302685753238,14.2922808829833
34,1,"Cumulative","Smooth",40,0.00676854043085091,46.6719187371587,17.4034363662493
34,2,"Cumulative","Smooth",40,0.00674273708591528,44.7668517259337,16.751625339968
34,3,"Cumulative","Smooth",40,0.00675913190866633,40.8504541998811,15.1314062592916
34,4,"Cumulative","Smooth",40,0.00674584010304541,44.6694702502406,16.8364694773798
35,1,"Cumulative","Smooth",20,0.0068287085165891,44.9405966862563,18.4372983537618
35,2,"Cumulative","Smooth",20,0.00673971358138389,46.9058485029463,17.3405968694168
35,3,"Cumulative","Smooth",20,0.006749292505375,44.7316213873946,20.2913803201813
35,4,"Cumulative","Smooth",20,0.0067624671244419,44.7782489080988,19.1820524239954
35,1,"Cumulative","Smooth",40,0.00673937303930446,44.6910167215244,17.8409103236148
35,2,"Cumulative","Smooth",40,0.00673820765577484,45.1075036594216,17.8973622632984
35,3,"Cumulative","Smooth",40,0.00674561425365977,44.6057624635785,18.6939741393224
35,4,"Cumulative","Smooth",40,0.00673863933413519,44.6300499196617,17.563303812641
36,1,"Best","Rough",20,0.00676751415227183,44.0475732734984,23.7843201634067
36,2,"Best","Rough",20,0.00673822832767971,44.6950668877227,23.2741556143767
36,3,"Best","Rough",20,0.00674349157179737,44.7191464022417,25.5171563187221
36,4,"Best","Rough",20,0.00674630397550034,44.6041138128283,22.7496049258724
36,1,"Best","Rough",40,0.00675363059664007,44.6764599632153,24.0774718805388
36,2,"Best","Rough",40,0.00675020769936492,44.7585563204178,23.3265213976762
36,3,"Best","Rough",40,0.00674364727335337,44.5818709480494,23.7741444117635
36,4,"Best","Rough",40,0.00678073785459503,44.2747801862599,24.7786495809243
37,1,"Best","Rough",20,9.11924202729143,0.0598991105234047,0.0215282199156668
37,2,"Best","Rough",20,18.3903017412771,0.0221690124824645,0.0067380841465743
37,3,"Best","Rough",20,11.0032160387809,0.0525272252346352,0.0190922883122009
37,4,"Best","Rough",20,11.4131419595641,0.016763997102764,0.00673820038639644
37,1,"Best","Rough",40,16.565784874867,0.0222483142026401,0.00673794736004363
37,2,"Best","Rough",40,7.92970646032401,0.046330294080468,0.0158821520527057
37,3,"Best","Rough",40,17.0297432013096,0.0190626419648672,0.00673796122916434
37,4,"Best","Rough",40,15.3922447191508,0.0219810855152851,0.00673795578772078
38,1,"Best","Smooth",20,0.00674626904927089,44.7125523592295,17.1526216374936
38,2,"Best","Smooth",20,0.00674714201347912,44.588243225444,18.8170198662384
38,3,"Best","Smooth",20,0.00673827661370912,44.6663331593348,17.8026039919783
38,4,"Best","Smooth",20,0.00674802159373837,44.5971379073614,18.9411337847368
38,1,"Best","Smooth",40,0.00679685451739762,44.7047467095424,18.9747579528571
38,2,"Best","Smooth",40,0.00674140418289183,44.6736958610877,17.9615393186088
38,3,"Best","Smooth",40,0.00673983058094165,44.7507248005493,18.4089925918281
38,4,"Best","Smooth",40,0.00674224487442173,44.7006391696488,17.4227459162682
39,1,"Best","Smooth",20,0.689814585068369,4.34668249481993,1.63462767523445
39,2,"Best","Smooth",20,0.576910853796209,62.4964976292023,15.5889505176349
39,3,"Best","Smooth",20,0.00673904891883286,44.883706492089,16.6507246542803
39,4,"Best","Smooth",20,0.685131005387657,44.6868531444759,17.1575647929735
39,1,"Best","Smooth",40,0.00680388539800427,49.661049321106,18.1686648078176
39,2,"Best","Smooth",40,0.321322197672502,52.1505069436055,20.0189741697905
39,3,"Best","Smooth",40,0.225894676700969,94.7462157578255,18.8162395548563
39,4,"Best","Smooth",40,0.00675106953660355,0.516162666063938,0.211161925738249
40,1,"Cumulative","Rough",20,0.670018928677712,44.7495620593036,18.3667976425092
40,2,"Cumulative","Rough",20,0.624178129820911,44.7345886247629,19.3749915293652
40,3,"Cumulative","Rough",20,0.00674078013270228,44.6651422529363,18.0926033488511
40,4,"Cumulative","Rough",20,0.315888293011819,84.1016787823416,19.5700640389311
40,1,"Cumulative","Rough",40,0.602694433844164,86.9370539035783,18.666482763446
40,2,"Cumulative","Rough",40,0.947621973358965,44.7620849252762,20.2102913089198
40,3,"Cumulative","Rough",40,0.73590066853337,44.6515416127392,19.1721545650513
40,4,"Cumulative","Rough",40,0.516049216835781,89.8545234511706,21.9024165569772
